person,categoria,genero,agno_nacimiento
Juvenal Olmos,Deporte,masculino,1962
Pedro González Vera,Deporte,masculino,1967
Fernando Astengo,Deporte,masculino,1960
Jorge Contreras Lira,Deporte,masculino,1960
Rubén Espinoza,Deporte,masculino,1961
Jaime Vera Rodríguez,Deporte,masculino,1963
Rubén Martínez Núñez,Deporte,masculino,1964
Héctor Vergara,Deporte,masculino,1966
Alejandro Hisis,Deporte,masculino,1962
Marco Antonio Figueroa,Deporte,masculino,1962
Sergio Vargas Buscalia,Deporte,masculino,1965
Gert Weil,Deporte,masculino,1960
Patricio Toledo,Deporte,masculino,1962
Hugo González Muñoz,Deporte,masculino,1963
Laird Hamilton,Deporte,masculino,1964
Mario Lepe,Deporte,masculino,1965
Mario Salas,Deporte,masculino,1967
Fabián Guevara,Deporte,masculino,1968
Rodrigo Vásquez Schroder,Deporte,masculino,1969
Patricio Mardones,Deporte,masculino,1962
Eduardo Vilches,Deporte,masculino,1963
Carlos Chandía,Deporte,masculino,1964
Marcelo Barticciotto,Deporte,masculino,1967
Carlo de Gavardo,Deporte,masculino,1969
Lukas Tudor,Deporte,masculino,1969
Leonel Contreras,Deporte,masculino,1961
Aníbal González Espinoza,Deporte,masculino,1963
Nelson Cossio,Deporte,masculino,1966
Jorge Gómez,Deporte,masculino,1968
Juan Carreño López,Deporte,masculino,1968
Raimundo Tupper,Deporte,masculino,1969
Fernando Díaz Seguel,Deporte,masculino,1961
Juan Covarrubias,Deporte,masculino,1961
Luis Pérez,Deporte,masculino,1961
Carlos Poblete,Deporte,masculino,1963
José Letelier,Deporte,masculino,1966
Andrés Romero,Deporte,masculino,1967
Jaime Patricio Ramírez,Deporte,masculino,1967
Richard Zambrano,Deporte,masculino,1967
Daniel López,Deporte,masculino,1969
Alfredo Nuñez,Deporte,masculino,1960
Emiliano Astorga,Deporte,masculino,1960
Pedro Rebolledo,Deporte,masculino,1960
José Santos León,Deporte,masculino,1961
Sergio Marchant,Deporte,masculino,1961
Jaime Baeza,Deporte,masculino,1962
Víctor Hugo Castañeda,Deporte,masculino,1962
Rubén Selmán,Deporte,masculino,1963
Mario Véner,Deporte,masculino,1964
Ricardo Gónzalez Reinoso,Deporte,masculino,1965
Jorge Pellicer,Deporte,masculino,1966
José Cantillana,Deporte,masculino,1966
Marcelo Miranda Díaz,Deporte,masculino,1967
Rubén Vallejos,Deporte,masculino,1967
Wilson Contreras,Deporte,masculino,1967
Rodrigo Gómez,Deporte,masculino,1968
Sergio Cortes,Deporte,masculino,1968
Óscar Meneses,Deporte,masculino,1960
Guillermo Carreño,Deporte,masculino,1962
Nelson Soto,Deporte,masculino,1963
Enrique Silva Cimma,Política,masculino,1918
Ignacio Walker,Política,masculino,1956
Sebastián Sichel,Política,masculino,1977
Julio Canessa Robert,Cultura & Ciencia,masculino,1925
Manuel Baquedano,Otro,masculino,1823
Emilio Körner,Otro,masculino,1846
Pedro Pablo Dartnell,Otro,masculino,1873
Víctor Farías,Cultura & Ciencia,masculino,1940
Agustín Edwards Mac-Clure,Otro,masculino,1878
Laurence Golborne,Otro,masculino,1961
Emilio Bello Codesido,Política,masculino,1868
Manuel Trucco,Política,masculino,1875
Juan Somavía,Política,masculino,1941
Antonio Moreno Casamitjana,Otro,masculino,1927
Javier Prado Aránguiz,Otro,masculino,1929
Tomás Osvaldo González Morales,Otro,masculino,1935
Gonzalo Duarte García de Cortázar,Otro,masculino,1942
Cristián Caro Cordero,Otro,masculino,1943
José Victorino Lastarria,Cultura & Ciencia,masculino,1817
Carlos Walker Martínez,Cultura & Ciencia,masculino,1842
Alfredo Valenzuela Puelma,Cultura & Ciencia,masculino,1856
Pedro Nolasco Cruz Vergara,Cultura & Ciencia,masculino,1857
Rodolfo Lenz,Cultura & Ciencia,masculino,1863
Baldomero Lillo,Cultura & Ciencia,masculino,1867
Camilo Mori Serrano,Cultura & Ciencia,masculino,1896
José Bohr,Cultura & Ciencia,masculino,1901
René Amengual,Cultura & Ciencia,masculino,1911
Tito Davison,Cultura & Ciencia,masculino,1912
Carlos Droguett,Cultura & Ciencia,masculino,1912
Luis Orlando Lagos Vásquez,Cultura & Ciencia,masculino,1913
Luis Alarcón,Cultura & Ciencia,masculino,1929
Helvio Soto Soto,Cultura & Ciencia,masculino,1930
Leon Schidlowsky,Cultura & Ciencia,masculino,1931
Armando Uribe Arce,Cultura & Ciencia,masculino,1933
Jaime Vadell,Cultura & Ciencia,masculino,1935
Nelson Villagra,Cultura & Ciencia,masculino,1937
Silvio Caiozzi,Cultura & Ciencia,masculino,1944
Peter Rock,Cultura & Ciencia,masculino,1945
Sergio Hernández,Cultura & Ciencia,masculino,1945
Patricio Contreras,Cultura & Ciencia,masculino,1947
Horacio Salinas,Cultura & Ciencia,masculino,1951
Gustavo Huerta,Cultura & Ciencia,masculino,1957
Ricardo Larraín,Cultura & Ciencia,masculino,1957
Jorge González,Cultura & Ciencia,masculino,1964
Alfredo Perl,Cultura & Ciencia,masculino,1965
Alejandro Silva,Cultura & Ciencia,masculino,1969
Juan Cristóbal Tapia de Veer,Cultura & Ciencia,masculino,1973
Benjamín Vicuña,Cultura & Ciencia,masculino,1977
Matías Bize,Cultura & Ciencia,masculino,1979
Tomás Guevara,Cultura & Ciencia,masculino,1865
Eduardo Kapstein,Cultura & Ciencia,masculino,1904
Héctor Croxatto,Cultura & Ciencia,masculino,1908
Ignacio Matte Blanco,Cultura & Ciencia,masculino,1908
Klaus von Storch,Cultura & Ciencia,masculino,1962
Cristian Bolton,Cultura & Ciencia,masculino,1973
Guido Pizarro,Cultura & Ciencia,masculino,2000
Camilo Henríquez,Cultura & Ciencia,masculino,1769
Cristián Bustos Mancilla,Deporte,masculino,1965
Luis Abarca,Deporte,masculino,1965
Raúl Toro Basáez,Deporte,masculino,1965
Juan Carlos González Izurieta,Deporte,masculino,1968
Miguel Cerda,Deporte,masculino,1969
Carlos González Romero,Deporte,masculino,1960
Juan Carlos Vera Rivera,Deporte,masculino,1960
Sandrino Castec,Deporte,masculino,1960
Luis Abdón Rodríguez,Deporte,masculino,1961
Ricardo Toro Vergara,Deporte,masculino,1961
Cristián Romero,Deporte,masculino,1963
Gerardo Vacarezza,Deporte,masculino,1965
Miguel Latín,Deporte,masculino,1968
Carlos Neyra,Deporte,masculino,1960
José Luis Álvarez Núñez,Deporte,masculino,1960
Mariano Puyol,Deporte,masculino,1960
Jorge Muñoz Luna,Deporte,masculino,1961
Pablo Milad Abusleme,Deporte,masculino,1961
Gerardo Silva,Deporte,masculino,1962
Martín Gálvez Asún,Deporte,masculino,1962
Juan Gutiérrez Acosta,Deporte,masculino,1964
Cristián Saavedra,Deporte,masculino,1961
Marco Fajre,Deporte,masculino,1963
Pedro Jaque,Deporte,masculino,1963
Ramón Pérez Araya,Deporte,masculino,1963
José Antonio Fernández Ibarra,Deporte,masculino,1965
Óscar Lee Chong,Deporte,masculino,1965
Francisco Huerta,Deporte,masculino,1967
Franz Arancibia,Deporte,masculino,1967
Marcelo Zunino,Deporte,masculino,1967
Miguel Ardiman,Deporte,masculino,1967
Reynaldo Hoffmann,Deporte,masculino,1967
Camilo Pino Pedreros,Deporte,masculino,1968
Jorge Atalah,Deporte,masculino,1968
Juan Carlos Peralta,Deporte,masculino,1968
Alfonso Neculñir,Deporte,masculino,1960
Felipe Jiménez,Deporte,masculino,1960
Heinz Gildemeister,Deporte,masculino,1960
José Astaburuaga,Deporte,masculino,1960
José Manuel Pozo,Deporte,masculino,1960
Luis Zambrano Arce,Deporte,masculino,1960
Marcelo Silva,Deporte,masculino,1960
Alfonso Navarro,Deporte,masculino,1961
Eduardo Cofré,Deporte,masculino,1961
Humberto Norambuena,Deporte,masculino,1961
Jorge García Ahumada,Deporte,masculino,1961
Orlando Mondaca,Deporte,masculino,1961
Pedro Pablo Díaz,Deporte,masculino,1961
Atilio Marchioni,Deporte,masculino,1962
Bernardo Mendoza,Deporte,masculino,1962
Cristian Trejos,Deporte,masculino,1962
Cristián Cheuque,Deporte,masculino,1962
Jaime Bahamondes,Deporte,masculino,1962
Mauro Meléndez,Deporte,masculino,1962
Boris Garafulic Litvak,Deporte,masculino,1963
Cristián Olguín Acuña,Deporte,masculino,1963
George Biehl,Deporte,masculino,1963
Leonardo Canales,Deporte,masculino,1963
Marcelo León,Deporte,masculino,1963
Naín Rostión,Deporte,masculino,1963
Pablo Yoma,Deporte,masculino,1963
Camilo Padilla,Deporte,masculino,1964
Horacio Rivas,Deporte,masculino,1964
Ricardo Lee,Deporte,masculino,1964
Rodrigo Astudillo Pérez,Deporte,masculino,1964
Enríque Berríos,Deporte,masculino,1965
Gustavo Poirrier,Deporte,masculino,1965
Joel Molina,Deporte,masculino,1965
Jorge Luis Pérez Vega,Deporte,masculino,1965
Mauricio Riffo,Deporte,masculino,1965
Roberto Reynero,Deporte,masculino,1965
Wilson Fre,Deporte,masculino,1965
Juan Sebastián Montes,Deporte,masculino,1967
Marcelo Álvarez,Deporte,masculino,1967
Walter Mella,Deporte,masculino,1967
Cristián Mora,Deporte,masculino,1968
Hugo Vilches,Deporte,masculino,1969
Jorge Torres Vega,Deporte,masculino,1969
Mariano Egaña,Política,masculino,1793
Alejandro Álvarez Jofre,Política,masculino,1868
Hernán Santa Cruz,Política,masculino,1906
Arturo Alessandri Besa,Política,masculino,1923
Cornelio Saavedra Rodríguez,Otro,masculino,1821
Marmaduke Grove,Otro,masculino,1878
Peter Hansen,Otro,masculino,1896
Jaime Eyzaguirre,Cultura & Ciencia,masculino,1908
Edmundo Pérez Zujovic,Otro,masculino,1912
Elías Lafertte,Política,masculino,1886
Patricio Carvajal,Política,masculino,1916
Gabriel Valdés Subercaseaux,Política,masculino,1919
Fernando Matthei,Política,masculino,1925
Alejandro Foxley,Política,masculino,1939
Adolfo Zaldívar,Política,masculino,1943
Santiago Silva Retamales,Otro,masculino,1955
Tomislav Koljatic Maroevic,Otro,masculino,1955
Juan Barros Madrid,Otro,masculino,1956
Carlos Eduardo Pellegrín Barrera,Otro,masculino,1958
Luis Fernando Ramos Pérez,Otro,masculino,1959
Marco A. Órdenes Fernández,Otro,masculino,1964
Pedro de Oña,Cultura & Ciencia,masculino,1570
Juan Egaña,Cultura & Ciencia,masculino,1768
Antonio Smith,Cultura & Ciencia,masculino,1832
Manuel Antonio Caro,Cultura & Ciencia,masculino,1835
Crescente Errázuriz,Cultura & Ciencia,masculino,1839
Thomas Somerscales,Cultura & Ciencia,masculino,1842
Alberto Valenzuela Llanos,Cultura & Ciencia,masculino,1869
Pablo Burchard,Cultura & Ciencia,masculino,1875
Carlos Pezoa Véliz,Cultura & Ciencia,masculino,1879
Enrique Soro,Cultura & Ciencia,masculino,1884
Mariano Latorre,Cultura & Ciencia,masculino,1886
Pedro Prado,Cultura & Ciencia,masculino,1886
Carlos Isamitt,Cultura & Ciencia,masculino,1887
Ángel Cruchaga Santa María,Cultura & Ciencia,masculino,1893
Alfonso Leng,Cultura & Ciencia,masculino,1894
Álvaro Guevara,Cultura & Ciencia,masculino,1894
Jorge González von Marées,Cultura & Ciencia,masculino,1900
Hans Helfritz,Cultura & Ciencia,masculino,1902
Herbert W. Spencer,Cultura & Ciencia,masculino,1905
Jorge Urrutia Blondel,Cultura & Ciencia,masculino,1905
Óscar Castro,Cultura & Ciencia,masculino,1910
Pepo,Cultura & Ciencia,masculino,1911
Roque Esteban Scarpa,Cultura & Ciencia,masculino,1914
Vicente Bianchi Alarcón,Cultura & Ciencia,masculino,1920
Egon Wolff,Cultura & Ciencia,masculino,1926
Miguel Arteche,Cultura & Ciencia,masculino,1926
José Balmes,Cultura & Ciencia,masculino,1927
Efraín Barquero,Cultura & Ciencia,masculino,1931
Sergio Larraín,Cultura & Ciencia,masculino,1931
Alejandro Sieveking,Cultura & Ciencia,masculino,1934
Luis Advis,Cultura & Ciencia,masculino,1935
Eduardo Carrasco Pirard,Cultura & Ciencia,masculino,1940
Julio Numhauser,Cultura & Ciencia,masculino,1940
Gabriel Brncic,Cultura & Ciencia,masculino,1942
Juan Luis Martínez,Cultura & Ciencia,masculino,1942
Jaime Collyer,Cultura & Ciencia,masculino,1955
Alejandro Goic,Cultura & Ciencia,masculino,1957
Tito Beltrán,Cultura & Ciencia,masculino,1965
Boris Quercia,Cultura & Ciencia,masculino,1966
Cristián Jiménez,Cultura & Ciencia,masculino,1975
César A. Hidalgo,Cultura & Ciencia,masculino,1979
Benjamín Labatut,Cultura & Ciencia,masculino,1980
Ariel Mateluna,Cultura & Ciencia,masculino,1989
Arturo Salazar,Cultura & Ciencia,masculino,1855
Dagoberto Godoy Fuentealba,Cultura & Ciencia,masculino,1893
Sergio de Castro,Cultura & Ciencia,masculino,1930
Claudio Bunster,Cultura & Ciencia,masculino,1947
F. J. Duarte,Cultura & Ciencia,masculino,1954
Jaime Mañalich,Cultura & Ciencia,masculino,1954
Pablo Longueira,Cultura & Ciencia,masculino,1958
Ricardo J. Caballero,Cultura & Ciencia,masculino,1959
Ricardo Lagos Weber,Cultura & Ciencia,masculino,1962
Vicente Reyes Palazuelos,Cultura & Ciencia,masculino,1835
Harold Mayne-Nicholls,Cultura & Ciencia,masculino,1961
Ignacio Gutiérrez,Cultura & Ciencia,masculino,1976
Roberto Rojas Mercado,Deporte,masculino,1969
Denisse van Lamoen,Deporte,femenino,1979
Érika Olivera,Deporte,femenino,1976
Cáterin Bravo,Deporte,femenino,1978
Berta Rodríguez,Deporte,femenino,1971
Yeny Contreras,Deporte,femenino,1979
Soraya Jadué,Deporte,femenino,1975
Alexandra Benado,Deporte,femenino,1976
Patricia Demick,Deporte,femenino,1972
Francisca Mardones,Deporte,femenino,1977
Patricia Soto,Deporte,femenino,1970
Paula Navarro Alvear,Deporte,femenino,1972
Romané Soto,Deporte,femenino,1978
Marcelo Salas,Deporte,masculino,1974
Francisco Fernández Torrejón,Deporte,masculino,1975
Marcelo Ríos,Deporte,masculino,1975
David Pizarro,Deporte,masculino,1979
Nicolás Massú,Deporte,masculino,1979
Pablo Contreras,Deporte,masculino,1978
Rodrigo Tello,Deporte,masculino,1979
Pablo Pozo,Deporte,masculino,1973
Frank Lobos,Deporte,masculino,1976
Pedro Reyes G.,Deporte,masculino,1972
Mauricio Aros,Deporte,masculino,1976
Manuel Neira,Deporte,masculino,1977
Miguel Ramírez,Deporte,masculino,1970
Enrique Osses Zencovich,Deporte,masculino,1974
Rafael Olarra,Deporte,masculino,1978
Rodrigo Barrera,Deporte,masculino,1970
Francisco Rojas Rojas,Deporte,masculino,1974
Clarence Acuña,Deporte,masculino,1975
Marcelo Vega,Deporte,masculino,1971
Moisés Villarroel,Deporte,masculino,1976
Julio Bascuñán,Deporte,masculino,1978
Sebastián González,Deporte,masculino,1978
Nelson Parraguez,Deporte,masculino,1971
Reinaldo Navia,Deporte,masculino,1978
Carlos Tejas,Deporte,masculino,1971
David Henríquez,Deporte,masculino,1977
Héctor Tapia,Deporte,masculino,1977
Manuel Ibarra Valdés,Deporte,masculino,1977
Luis Mena Irarrázabal,Deporte,masculino,1979
Raúl Muñoz,Deporte,masculino,1975
Sebastián Rozental,Deporte,masculino,1976
Rodrigo Núñez,Deporte,masculino,1977
Nicolás Córdova,Deporte,masculino,1979
Patricio Ormazábal,Deporte,masculino,1979
Luis Fuentes,Deporte,masculino,1971
Francisco Arrué,Deporte,masculino,1977
Javier di Gregorio,Deporte,masculino,1977
Rodrigo Meléndez,Deporte,masculino,1977
Mauricio Rojas,Deporte,masculino,1978
Adrián García,Deporte,masculino,1978
Nicolás Peric,Deporte,masculino,1978
Cristian Montecinos,Deporte,masculino,1970
Pablo Galdames,Deporte,masculino,1974
Ricardo Rojas Trujillo,Deporte,masculino,1974
Rodrigo Valenzuela,Deporte,masculino,1975
Patricio Galaz,Deporte,masculino,1976
Álvaro Ormeño,Deporte,masculino,1979
Jaime Riveros,Deporte,masculino,1970
Miguel Ponce,Deporte,masculino,1971
Esteban Valencia,Deporte,masculino,1972
Rodrigo Ruiz,Deporte,masculino,1972
Francisco López Contardo,Deporte,masculino,1975
Marco Villaseca,Deporte,masculino,1975
Arturo Sanhueza,Deporte,masculino,1978
Jorge Acuña,Deporte,masculino,1978
Roberto Tobar,Deporte,masculino,1978
Juan Castillo Balcázar,Deporte,masculino,1970
Mauricio Pozo,Deporte,masculino,1970
Rodrigo Goldberg,Deporte,masculino,1971
Roberto Cartes,Deporte,masculino,1972
Gonzalo Garrido,Deporte,masculino,1973
Sebastián Keitel,Deporte,masculino,1973
Felipe Aguilar,Deporte,masculino,1974
Claudio Núñez,Deporte,masculino,1975
Alejandro Osorio,Deporte,masculino,1976
Carlos Toro,Deporte,masculino,1976
Dante Poli,Deporte,masculino,1976
Fernando Vergara,Deporte,masculino,1970
Marcelo Corrales,Deporte,masculino,1971
César Díaz Escobar,Deporte,masculino,1975
Marco Arriagada,Deporte,masculino,1975
Raúl Palacios,Deporte,masculino,1976
Edgardo Abdala,Deporte,masculino,1978
Luis Liendo,Deporte,masculino,1978
Alejandro Escalona,Deporte,masculino,1979
Juan Robledo,Deporte,masculino,1979
Rodolfo Moya,Deporte,masculino,1979
Rodrigo Naranjo,Deporte,masculino,1979
Arturo Norambuena,Deporte,masculino,1971
Héctor Robles,Deporte,masculino,1971
Leonel Herrera Silva,Deporte,masculino,1971
Ítalo Díaz,Deporte,masculino,1971
Paris Inostroza Budinich,Deporte,masculino,1972
Hernán Caputto,Deporte,masculino,1974
Luis Fernando Sepúlveda,Deporte,masculino,1974
Moisés Ávila,Deporte,masculino,1974
Andrei Sartassov,Deporte,masculino,1975
Eros Pérez,Deporte,masculino,1976
Mario Antonio Núñez,Deporte,masculino,1976
Álex Varas,Deporte,masculino,1976
Carlos Cáceres Pino,Deporte,masculino,1977
Felipe Flores Quijada,Deporte,masculino,1977
Jorge Ormeño,Deporte,masculino,1977
Mauricio Segovia,Deporte,masculino,1977
Joel Estay,Deporte,masculino,1978
Álvaro Sarabia,Deporte,masculino,1978
César Santis,Deporte,masculino,1979
Mauricio Salazar,Deporte,masculino,1979
Patricio Almonacid,Deporte,masculino,1979
Agustín Salvatierra,Deporte,masculino,1970
Juan Carlos Carbonell,Deporte,masculino,1970
Waldemar Méndez,Deporte,masculino,1971
Cristián Flores,Deporte,masculino,1972
Joel Reyes,Deporte,masculino,1972
Pascual de Gregorio,Deporte,masculino,1972
José Medina,Deporte,masculino,1973
Juan Quiroga,Deporte,masculino,1973
Luis Guajardo,Deporte,masculino,1973
Pedro Acevedo,Deporte,masculino,1973
Matías Brain,Deporte,masculino,1974
Daniel Pérez,Deporte,masculino,1975
Fernando Martel,Deporte,masculino,1975
Juan González Calderón,Deporte,masculino,1975
Rodrigo Barra,Deporte,masculino,1975
Ariel Salas,Deporte,masculino,1976
Gustavo Dalsasso,Deporte,masculino,1976
Marco Antonio Verni,Deporte,masculino,1976
Mauricio Donoso,Deporte,masculino,1976
Jaime González,Deporte,masculino,1977
Jorge Osório,Deporte,masculino,1977
Patricio Morales,Deporte,masculino,1977
Rodrigo Ríos,Deporte,masculino,1977
Alejandro Carrascoo,Deporte,masculino,1978
Cristián Gómez,Deporte,masculino,1978
Cristián Uribe,Deporte,masculino,1978
Héctor Barra,Deporte,masculino,1978
José Luis Jerez,Deporte,masculino,1978
Julio Gutiérrez,Deporte,masculino,1979
Luis Durán Riquelme,Deporte,masculino,1979
Luis Ignacio Quinteros,Deporte,masculino,1979
Néstor Contreras,Deporte,masculino,1979
Renato Ramos,Deporte,masculino,1979
Sergio Jadue,Deporte,masculino,1979
Luis Chavarría,Deporte,masculino,1970
Francis Ferrero,Deporte,masculino,1972
Víctor Cancino,Deporte,masculino,1972
Carlos Reyes,Deporte,masculino,1973
Rodrigo Cuevas,Deporte,masculino,1973
Gabriel Lama,Deporte,masculino,1974
Juan Luis González,Deporte,masculino,1974
Victor Mella,Deporte,masculino,1974
Leonardo Zamora,Deporte,masculino,1975
Ricardo Viveros,Deporte,masculino,1975
Eduardo Arancibia,Deporte,masculino,1976
Eduardo Pinto,Deporte,masculino,1976
Fernando Solís Núñez,Deporte,masculino,1976
Francisco Cañete,Deporte,masculino,1976
Juan Pablo Toro,Deporte,masculino,1976
Marcos Millape,Deporte,masculino,1976
Rudecindo Ortega Masson,Política,masculino,1889
Andrónico Lukšić Abaroa,Política,masculino,1926
Jaime Ravinet,Política,masculino,1946
José Antonio Gómez Urrutia,Política,masculino,1953
Andrés Chadwick,Política,masculino,1956
Ricardo Krebs,Cultura & Ciencia,masculino,1918
Alejandro Navarro,Política,masculino,1958
John Williams Wilson,Otro,masculino,1798
César Benavides,Otro,masculino,1912
Francisco Antonio Encina,Cultura & Ciencia,masculino,1874
Gabriel Salazar,Cultura & Ciencia,masculino,1936
Ignacio Casale,Otro,masculino,1987
Pedro Nolasco Vergara Albano,Política,masculino,1800
Antonio Varas,Política,masculino,1817
Guillermo Teillier,Política,masculino,1943
Mariano Fernández Amunátegui,Política,masculino,1945
Juan Gabriel Valdés,Política,masculino,1947
José Goñi,Política,masculino,1948
Lautaro Carmona,Política,masculino,1952
Andrés Velasco Brañes,Política,masculino,1960
Juan Subercaseaux Errázuriz,Otro,masculino,1896
Francisco Valdés Subercaseaux,Otro,masculino,1908
Enrique Alvear Urrutia,Otro,masculino,1916
Sergio Valech,Otro,masculino,1927
Cristián Enrique Contreras Molina,Otro,masculino,1946
Pedro Felipe Bacarreza Rodríguez,Otro,masculino,1948
Horacio Valenzuela,Otro,masculino,1954
Ignacio Ducasse,Otro,masculino,1956
Pedro Ossandón Buljevic,Otro,masculino,1957
Jorge Concha Cayuqueo,Otro,masculino,1958
Santiago Arcos,Cultura & Ciencia,masculino,1822
Cosme San Martín,Cultura & Ciencia,masculino,1850
Ramón Subercaseaux Vicuña,Cultura & Ciencia,masculino,1854
Diego Dublé Urrutia,Cultura & Ciencia,masculino,1877
Agustín Abarca,Cultura & Ciencia,masculino,1882
Víctor Domingo Silva,Cultura & Ciencia,masculino,1882
Antonio Acevedo Hernández,Cultura & Ciencia,masculino,1886
Fernando Santiván,Cultura & Ciencia,masculino,1886
Jorge Délano Frederick,Cultura & Ciencia,masculino,1895
Juan Guzmán Cruchaga,Cultura & Ciencia,masculino,1895
Domingo Santa Cruz Wilson,Cultura & Ciencia,masculino,1899
Luis Aguirre Pinto,Cultura & Ciencia,masculino,1907
Samuel Román,Cultura & Ciencia,masculino,1907
Alfonso Letelier,Cultura & Ciencia,masculino,1912
Braulio Arenas,Cultura & Ciencia,masculino,1913
Fernando Alegría,Cultura & Ciencia,masculino,1918
Tato Cifuentes,Cultura & Ciencia,masculino,1925
Hugo Correa,Cultura & Ciencia,masculino,1926
David Rosenmann-Taub,Cultura & Ciencia,masculino,1927
Fernando García Arancibia,Cultura & Ciencia,masculino,1930
Jorge Díaz,Cultura & Ciencia,masculino,1930
Mario Toral,Cultura & Ciencia,masculino,1934
Francisco de Borja García-Huidobro,Cultura & Ciencia,masculino,1936
Héctor Noguera,Cultura & Ciencia,masculino,1937
Juan Downey,Cultura & Ciencia,masculino,1940
Eduardo Alquinta,Cultura & Ciencia,masculino,1945
Óscar Castro Ramírez,Cultura & Ciencia,masculino,1947
Elicura Chihuailaf,Cultura & Ciencia,masculino,1952
Ignacio Agüero,Cultura & Ciencia,masculino,1952
Miguel Piñera Echenique,Cultura & Ciencia,masculino,1954
Eduardo Engel,Cultura & Ciencia,masculino,1956
Ramón Díaz Eterovic,Cultura & Ciencia,masculino,1956
Carlos Franz,Cultura & Ciencia,masculino,1959
Sebastián Santa María,Cultura & Ciencia,masculino,1959
Álvaro Rudolphy,Cultura & Ciencia,masculino,1964
Luis Jara,Cultura & Ciencia,masculino,1965
Smiljan Radic Clarke,Cultura & Ciencia,masculino,1965
Manuel García,Cultura & Ciencia,masculino,1970
Guillermo Calderón,Cultura & Ciencia,masculino,1971
Alberto Montt,Cultura & Ciencia,masculino,1972
Cristián Cuturrufo,Cultura & Ciencia,masculino,1972
Néstor Cantillana,Cultura & Ciencia,masculino,1973
Martín Cárcamo,Cultura & Ciencia,masculino,1975
Luciano,Cultura & Ciencia,masculino,1978
Matías Novoa,Cultura & Ciencia,masculino,1980
Patricio Escala,Cultura & Ciencia,masculino,1982
Felipe Gálvez Haberle,Cultura & Ciencia,masculino,1983
Augusto Schuster,Cultura & Ciencia,masculino,1985
Pablo Holman,Cultura & Ciencia,masculino,1988
Federico Philippi,Cultura & Ciencia,masculino,1838
Nicolás Palacios,Cultura & Ciencia,masculino,1854
Carlos Keller,Cultura & Ciencia,masculino,1898
Carlos Muñoz Pizarro,Cultura & Ciencia,masculino,1913
Jacques Chonchol,Cultura & Ciencia,masculino,1926
Nicolás Díaz,Cultura & Ciencia,masculino,1929
Tomás Moulian,Cultura & Ciencia,masculino,1939
Roberto Delmastro,Cultura & Ciencia,masculino,1945
Tom Dillehay,Cultura & Ciencia,masculino,1947
Miguel Kast,Cultura & Ciencia,masculino,1948
Antonio Horvath,Cultura & Ciencia,masculino,1950
Antonio Leal Labrín,Cultura & Ciencia,masculino,1950
Nicolás Eyzaguirre,Cultura & Ciencia,masculino,1953
Mario Hamuy,Cultura & Ciencia,masculino,1960
Ricardo Rozzi,Cultura & Ciencia,masculino,1960
Harald Beyer,Cultura & Ciencia,masculino,1964
Franco Parisi,Cultura & Ciencia,masculino,1967
Luis Larraín,Cultura & Ciencia,masculino,1980
Diego José Benavente Bustamante,Cultura & Ciencia,masculino,1790
Recaredo Santos Tornero,Cultura & Ciencia,masculino,1842
Álvaro Escobar,Cultura & Ciencia,masculino,1966
Rafael Araneda,Cultura & Ciencia,masculino,1969
Patricio Jeria,Deporte,masculino,1976
Pedro Rivera Porra,Deporte,masculino,1976
Roberto Echeverría,Deporte,masculino,1976
Roberto González,Deporte,masculino,1976
Rodrigo Viligrón,Deporte,masculino,1976
Adrián Rojas,Deporte,masculino,1977
Carlos Tapia Pavez,Deporte,masculino,1977
Luis Eduardo Hicks,Deporte,masculino,1977
Cristóbal González,Deporte,masculino,1978
Fabián Muñoz,Deporte,masculino,1978
Francisco Huaiquipán,Deporte,masculino,1978
Luis Godoy,Deporte,masculino,1978
Miguel Ángel Cárdenas,Deporte,masculino,1978
Patricio Acevedo,Deporte,masculino,1978
Richard Olivares,Deporte,masculino,1978
Roberto Cáceres,Deporte,masculino,1978
Bruno Pesce,Deporte,masculino,1979
Christian Gálvez Núñez,Deporte,masculino,1979
Gamadiel García,Deporte,masculino,1979
Juan Luis Mora Parada,Deporte,masculino,1979
Luis Alejandro Peña,Deporte,masculino,1979
Patricio Lira Navarrete,Deporte,masculino,1979
José Luis Sánchez,Deporte,masculino,1970
Felipe Rivera,Deporte,masculino,1971
Miguel Ángel Castillo,Deporte,masculino,1972
César Bravo,Deporte,masculino,1973
Marcelo Arriagada,Deporte,masculino,1973
Gabriel Silberstein,Deporte,masculino,1974
Jaime Lopresti,Deporte,masculino,1974
Christián Yantani,Deporte,masculino,1975
Marcelo Peña,Deporte,masculino,1975
Rodrigo Rain,Deporte,masculino,1975
Carlos Garrido,Deporte,masculino,1977
Frank Carilao,Deporte,masculino,1977
Guillermo José Burgos Viguera,Deporte,masculino,1977
Hermes Gamonal,Deporte,masculino,1977
Juan José Ossandón,Deporte,masculino,1977
Francisco Michea,Deporte,masculino,1978
Héctor Suazo,Deporte,masculino,1978
Luis Eugenio Díaz Fuenzalida,Deporte,masculino,1978
Pablo Bolados,Deporte,masculino,1978
Cristián Reynero,Deporte,masculino,1979
Héctor Pericás,Deporte,masculino,1979
Marco Olea,Deporte,masculino,1979
Rafael Celedón,Deporte,masculino,1979
Mauro Donoso,Deporte,masculino,1971
Manuel Suárez Jiménez,Deporte,masculino,1972
Carlos Ortega,Deporte,masculino,1973
Claudio Lizama,Deporte,masculino,1973
