person,categoria,genero,agno_nacimiento
Mahani Teave,Cultura & Ciencia,femenino,1983
Javiera Mena,Cultura & Ciencia,femenino,1983
Mariana Di Girólamo,Cultura & Ciencia,femenino,1990
Magdalena Matte,Cultura & Ciencia,femenino,1950
Claudia Pascual,Cultura & Ciencia,femenino,1972
Maisa Rojas,Cultura & Ciencia,femenino,1972
Alfredo France,Deporte,masculino,1895
Marcos Wittke,Deporte,masculino,1896
Óscar González,Deporte,masculino,1894
Alex Hannig,Deporte,masculino,1897
Francisco Arellano,Deporte,masculino,1896
Quintín Romero Rojas,Deporte,masculino,1896
Benedicto Kocián,Deporte,masculino,1891
Gil Letelier,Deporte,masculino,1895
Adriana Olguín,Política,femenino,1911
Carolina Goic Boroevic,Política,femenino,1972
Catalina de los Ríos y Lísperguer,Otro,femenino,1604
Irací Hassler,Otro,femenino,1990
Ana González de Recabarren,Otro,femenino,1925
Amanda Labarca,Política,femenino,1886
Ana Figueroa,Política,femenino,1907
María Ignacia Benítez,Política,femenino,1958
María José Hoffmann,Política,femenino,1976
Magdalena Mira,Cultura & Ciencia,femenino,1859
Aurora Mira,Cultura & Ciencia,femenino,1863
Judith Alpi,Cultura & Ciencia,femenino,1893
Marcela Paz,Cultura & Ciencia,femenino,1902
Lily Garafulic,Cultura & Ciencia,femenino,1914
Bélgica Castro,Cultura & Ciencia,femenino,1921
Aline Kuppenheim,Cultura & Ciencia,femenino,1969
Nona Fernández,Cultura & Ciencia,femenino,1971
Sigrid Alegría,Cultura & Ciencia,femenino,1974
Carolina de Moras,Cultura & Ciencia,femenino,1981
Ignacia Allamand,Cultura & Ciencia,femenino,1981
Pamela Díaz Padilla,Cultura & Ciencia,femenino,1981
Maite Alberdi,Cultura & Ciencia,femenino,1983
Daniela Castillo,Cultura & Ciencia,femenino,1984
Dominga Sotomayor Castillo,Cultura & Ciencia,femenino,1985
Paloma Mami,Cultura & Ciencia,femenino,1999
María Edwards McClure,Cultura & Ciencia,femenino,1893
Ángela Jeria,Cultura & Ciencia,femenino,1926
Julieta Kirkwood,Cultura & Ciencia,femenino,1936
Sara Larraín,Cultura & Ciencia,femenino,1952
Maya Fernández,Política,femenino,1971
Tilde de Paula,Cultura & Ciencia,femenino,1972
Ena von Baer,Política,femenino,1974
