"","person","genero","politico","agno_nacimiento"
"2159","Silvana Urroz","femenino",0,1955
"2160","Francisca Anice Donoso Andalaft","femenino",0,1953
"2161","Francisca Puertas","femenino",0,1953
"2162","Elías Fernández Albano","masculino",1,1845
"2163","Abraham Oyanedel","masculino",1,1874
"2164","Bartolomé Blanche","masculino",1,1879
"2165","José Toribio Merino","masculino",1,1915
"2166","Fernando Errázuriz Aldunate","masculino",1,1777
"2167","Aníbal Zañartu","masculino",1,1847
"2168","Luis Altamirano","masculino",1,1867
"2169","Juan Francisco Fresno","masculino",0,1914
"2170","Bernardino Piñera","masculino",0,1915
"2171","Ramón Vinay","masculino",0,1911
"2172","Jorge Pedreros","masculino",0,1942
"2173","Felipe Camiroaga","masculino",0,1966
"2174","Ricardo Villalobos","masculino",0,1970
"2175","Jorge Vargas","masculino",1,1976
"2176","Pedro Opaso Letelier","masculino",1,1876
"2177","Miguel Humberto Enriquez Espinosa","masculino",1,1944
"2178","Manuel Pellegrini","masculino",0,1953
"2179","Carlos Caszely","masculino",0,1950
"2180","Roberto Rojas","masculino",0,1957
"2181","Eliseo Salazar","masculino",0,1954
"2182","Mario Osbén","masculino",0,1950
"2183","Marco Antonio Cornez","masculino",0,1957
"2184","Juan Carlos Letelier","masculino",0,1959
"2185","Óscar Wirth","masculino",0,1955
"2186","Lizardo Garrido","masculino",0,1957
"2187","Mario Soto","masculino",0,1950
"2188","Mario Galindo","masculino",0,1951
"2189","Vladimir Bigorra","masculino",0,1954
"2190","Gustavo Moscoso","masculino",0,1955
"2191","Rafael González Córdova","masculino",0,1950
"2192","Enzo Escobar","masculino",0,1951
"2193","Jorge Socías","masculino",0,1951
"2194","Juan Machuca","masculino",0,1951
"2195","Miguel Ángel Gamboa","masculino",0,1951
"2196","Miguel Ángel Neira","masculino",0,1952
"2197","Rodolfo Dubó","masculino",0,1953
"2198","René Valenzuela","masculino",0,1955
"2199","Raúl Ormeño","masculino",0,1958
"2200","Carlos Rivas","masculino",0,1953
"2201","Óscar Rojas Giacomozz","masculino",0,1958
"2202","Juan Giha","masculino",0,1955
"2203","Roberto Cifuentes Parada","masculino",0,1957
"2204","Oscar Fabbiani","masculino",0,1950
"2205","Juan Carlos Orellana","masculino",0,1955
"2206","Hans Gildemeister","masculino",0,1956
"2207","Jorge Aravena","masculino",0,1958
"2208","Julio Crisosto","masculino",0,1950
"2209","Daniel Morón","masculino",0,1955
"2210","José Miguel Insulza","masculino",1,1943
"2211","Alberto Blest Gana","masculino",0,1830
"2212","Pedro Subercaseaux","masculino",0,1880
"2213","Alberto Guerrero","masculino",0,1886
"2214","Daniel Emilfork","masculino",0,1924
"2215","Alfredo Jaar","masculino",0,1956
"2216","Luis Gnecco","masculino",0,1962
"2217","Andrés Wood","masculino",0,1965
"2218","Manuel Alberto Claro","masculino",0,1970
"2219","Álvaro Véliz","masculino",0,1972
"2220","Jorge Arrate","masculino",1,1941
"2221","Joaquín Lavín","masculino",1,1953
"2222","Héctor Puebla","masculino",0,1955
"2223","Franklin Lobos","masculino",0,1957
"2224","Ricardo Acuña","masculino",0,1958
"2225","Sergio Salgado","masculino",0,1958
"2226","Alfonso de Iruarrizaga","masculino",0,1957
"2227","Osvaldo Hurtado Galleguillos","masculino",0,1957
"2228","Víctor Cabrera","masculino",0,1957
"2229","Jorge Peredo","masculino",0,1953
"2230","Luis Carvallo","masculino",0,1953
"2231","Belus Prajoux","masculino",0,1955
"2232","Severino Vasconcelos","masculino",0,1950
"2233","Emilio Ulloa","masculino",0,1952
"2234","Álvaro Fillol","masculino",0,1952
"2235","Jorge Garcés","masculino",0,1954
"2236","Andrés Allamand","masculino",1,1956
"2237","Eduardo Fournier","masculino",0,1956
"2238","Patricio Reyes","masculino",0,1957
"2239","Fernando Santis","masculino",0,1958
"2240","Alex Martínez","masculino",0,1959
"2241","Luis Marcoleta","masculino",0,1959
"2242","Luis Mosquera","masculino",0,1959
"2243","Víctor Pizarro","masculino",0,1950
"2244","Héctor Pinto","masculino",0,1951
"2245","Miguel Ángel Leyes","masculino",0,1952
"2246","Osvaldo Andrade","masculino",1,1953
"2247","Fernando Vera","masculino",0,1954
"2248","Martín Vargas","masculino",0,1955
"2249","Roberto Muñoz","masculino",0,1955
"2250","Mario Sánchez Yantén","masculino",0,1956
"2251","Raúl Isaac González","masculino",0,1956
"2252","Héctor Hoffens","masculino",0,1957
"2253","Carlos Humberto Ramos","masculino",0,1958
"2254","Edgardo Fuentes","masculino",0,1958
"2255","Eduardo Gómez","masculino",0,1958
"2256","Luis Hormazábal","masculino",0,1959
"2257","Víctor Estay","masculino",0,1951
"2258","Manuel Rodríguez Erdoíza","masculino",1,1785
"2259","Juan Antonio Iribarren","masculino",1,1885
"2260","Sergio Arellano Stark","masculino",0,1921
"2261","Diego Barros Arana","masculino",1,1830
"2262","Jaime Parada","masculino",1,1977
"2263","Alejandro Goic Karmelic","masculino",0,1940
"2264","Héctor Vargas Bastidas","masculino",0,1951
"2265","Juan Ignacio González Errázuriz","masculino",0,1956
"2266","Pedro Humberto Allende","masculino",0,1885
"2267","Pablo de Rokha","masculino",0,1894
"2268","Patricio Manns","masculino",0,1937
"2269","Alexander Witt","masculino",0,1952
"2270","Alberto Fuguete","masculino",0,1964
"2271","Eduardo Waghorn","masculino",0,1966
"2272","Rodrigo González","masculino",0,1968
"2273","Sebastián Silva","masculino",0,1979
"2274","Ronnie ( papito corazón )Romero","masculino",0,1981
"2275","Jorge López","masculino",0,1991
"2276","Alejandro Guillier","masculino",1,1953
"2277","Alejandro Trujillo","masculino",0,1952
"2278","César Vaccia","masculino",0,1952
"2279","Héctor Velásquez","masculino",0,1952
"2280","Luis Araneda","masculino",0,1953
"2281","Mario Ibáñez","masculino",0,1953
"2282","Raúl Toro Fuenzalida","masculino",0,1954
"2283","Leonardo Montenegro","masculino",0,1955
"2284","Juan Soto Quintana","masculino",0,1956
"2285","Javier Benito Campos Moreno","masculino",0,1959
"2286","Eduardo Menichetti Pilas","masculino",0,1950
"2287","Juan Núñez","masculino",0,1956
"2288","Marcelo Pacheco","masculino",0,1958
"2289","Óscar Del Solar","masculino",0,1958
"2290","Óscar Herrera","masculino",0,1959
"2291","Eddie Campodónico","masculino",0,1950
"2292","Nelson Sanhueza","masculino",0,1952
"2293","Víctor Merello","masculino",0,1952
"2294","Gabriel Ruiz-Tagle","masculino",1,1953
"2295","Guillermo Muñoz Muñoz","masculino",0,1953
"2296","Milenko Skoknic","masculino",0,1954
"2297","Sergio Santander","masculino",0,1954
"2298","Juan Carlos Loaiza","masculino",0,1955
"2299","Óscar Arriaza","masculino",0,1956
"2300","Juan Rojas Carvacho","masculino",0,1957
"2301","Osvaldo Vargas","masculino",0,1957
"2302","Yuri Fernández","masculino",0,1957
"2303","Carlos Durán Pando","masculino",0,1958
"2304","Luis Miranda","masculino",0,1950
"2305","Mario Varas","masculino",0,1951
"2306","Pedro Pinto Jara","masculino",0,1951
"2307","Miguel Ángel Arrué","masculino",0,1952
"2308","Arturo Jáuregui Peña","masculino",0,1956
"2309","Benedicto Villablanca","masculino",0,1957
"2310","Mack Hilton","masculino",0,1958
"2311","Pablo Prieto Lorca","masculino",1,1959
"2312","Rodrigo Santander","masculino",0,1959
"2313","Germán Bermúdez Arancibia","masculino",0,1950
"2314","Germán Elissetche","masculino",0,1950
"2315","Raúl Gutiérrez López","masculino",0,1950
"2316","Hugo Solís","masculino",0,1951
"2317","Roberto Hernández Notario","masculino",0,1951
"2318","Enrique Enoch","masculino",0,1952
"2319","José Antonio Celsi","masculino",0,1952
"2320","Alberto Hidalgo Silva","masculino",0,1953
"2321","Antonio Garrido Mardones","masculino",1,1953
"2322","Juan Martínez de Rozas","masculino",1,1759
"2323","Carlos Altamirano Orrego","masculino",1,1922
"2324","Mateo de Toro Zambrano","masculino",0,1727
"2325","Francisco de la Lastra","masculino",1,1777
"2326","Juan Williams Rebolledo","masculino",1,1825
"2327","Luis Pardo Villalón","masculino",0,1882
"2328","Gustavo Leigh","masculino",0,1920
"2329","Luis Barros Borgoño","masculino",1,1858
"2330","José Maza Fernández","masculino",1,1889
"2331","Sergio Onofre Jarpa","masculino",1,1921
"2332","José Piñera Echenique","masculino",1,1948
"2333","Fernando Chomali","masculino",0,1957
"2334","Francisco Bilbao","masculino",1,1823
"2335","Juan Orrego-Salas","masculino",0,1919
"2336","Gustavo Becerra-Schmidt","masculino",0,1925
"2337","Antonio Prieto","masculino",0,1926
"2338","Rolando Alarcón","masculino",0,1929
"2339","Buddy Richard","masculino",0,1943
"2340","Sebastián Alarcón","masculino",0,1949
"2341","Hernán Rivera Letelier","masculino",0,1950
"2342","Alain Johannes","masculino",0,1962
"2343","Alejandro Abad","masculino",0,1962
"2344","Jorge Zabaleta","masculino",0,1965
"2345","Rodrigo Pérez","masculino",0,1973
"2346","Ariel Levy","masculino",0,1984
"2347","Friedrich Richard Adelbart Johow","masculino",0,1859
"2348","Hernán Büchi","masculino",1,1949
"2349","Gonzalo Boyé","masculino",0,1965
"2350","Jaime Carreño","masculino",0,1953
"2351","Juan Rogelio Núñez","masculino",0,1953
"2352","Claudio Toro","masculino",0,1954
"2353","Hernán Castro Leiva","masculino",0,1954
"2354","Hernán Ibarra","masculino",0,1954
"2355","Leonidas Burgos","masculino",0,1954
"2356","Luis Carlos Garrido Castañeda","masculino",0,1954
"2357","Luis Rojas Álvarez","masculino",0,1954
"2358","Mario Flores Cubillos (Fútbol)","masculino",0,1954
"2359","Mario Zurita","masculino",0,1954
"2360","Patricio Bonhomme","masculino",0,1954
"2361","Santiago Gatíca","masculino",0,1954
"2362","Víctor Solar","masculino",0,1954
"2363","Armando Alarcón","masculino",0,1955
"2364","Eduardo Jiménez Coronado","masculino",0,1955
"2365","Juvenal Vargas","masculino",0,1955
"2366","René Serrano","masculino",0,1955
"2367","Giuseppe Bacigalupo","masculino",0,1956
"2368","Julio Rodríguez González","masculino",0,1956
"2369","Luis Droguett","masculino",0,1956
"2370","Luis Valenzuela","masculino",0,1956
"2371","Rubén Gómez","masculino",0,1956
"2372","Willy González","masculino",0,1956
"2373","Antonio Zaracho","masculino",0,1957
"2374","Jorge Neumann","masculino",0,1957
"2375","Iván Azócar","masculino",0,1958
"2376","Jorge O'Ryan","masculino",0,1958
"2377","Juan Carlos Ridolfi","masculino",0,1958
"2378","Luis Pino","masculino",0,1958
"2379","Peter Tormen","masculino",0,1959
"2380","Giovanna Arbunic","femenino",0,1964
"2381","Virginia Yarur","femenino",0,1966
"2382","Zhiying Zeng","femenino",0,1966
"2383","Iván Zamorano","masculino",0,1967
"2384","Eduardo Berizzo","masculino",0,1969
"2385","José Luis Sierra","masculino",0,1968
"2386","Nelson Tapia","masculino",0,1966
"2387","Fabián Estay","masculino",0,1968
"2388","Patricio Yáñez","masculino",0,1961
"2389","Marcelo Ramírez","masculino",0,1965
"2390","Javier Margas","masculino",0,1969
"2391","Luis Musrri","masculino",0,1969
"2392","Cristián Castañeda","masculino",0,1968
"2393","Fernando Cornejo","masculino",0,1969
"2394","Ronald Fuentes","masculino",0,1969
"2395","Bernardo Leighton","masculino",1,1909
"2396","Andrés Zaldívar","masculino",1,1936
"2397","Juan Guzmán Tapia","masculino",0,1939
"2398","Jaime Guzmán","masculino",1,1946
"2399","Daniel Zamudio","masculino",0,1987
"2400","Vicente Merino","masculino",1,1889
"2401","Tomás Hirsch","masculino",1,1956
"2402","Eusebio Lillo","masculino",1,1826
"2403","Agustín Ross Edwards","masculino",1,1844
"2404","Radomiro Tomic","masculino",1,1914
"2405","Clodomiro Almeyda","masculino",1,1923
"2406","Juan Pablo Orrego","masculino",1,1949
"2407","Francisco José Cox Huneeus","masculino",0,1933
"2408","René Osvaldo Rebolledo Salinas","masculino",0,1958
"2409","Antonio José de Irisarri","masculino",0,1786
"2410","Miguel Luis Amunátegui","masculino",1,1828
"2411","Benjamín Vicuña Mackenna","masculino",1,1831
"2412","Juan Francisco González","masculino",0,1853
"2413","Pedro Pablo Figueroa","masculino",0,1857
"2414","Augusto d'Halmar","masculino",0,1880
"2415","Eduardo Barrios","masculino",0,1884
"2416","Joaquín Edwards Bello","masculino",0,1887
"2417","Adelqui Migliar","masculino",0,1891
"2418","Volodia Teitelboim","masculino",1,1916
"2419","Eugenio Cruz Vargas","masculino",0,1923
"2420","Enrique Lihn","masculino",0,1929
"2421","Óscar Hahn","masculino",0,1938
"2422","Max Berrú Carrión","masculino",0,1942
"2423","Jorge Selarón","masculino",0,1947
"2424","Humberto Gatica","masculino",0,1951
"2425","Roberto Ampuero","masculino",1,1953
"2426","Méndez","masculino",0,1975
"2427","Nicolás López","masculino",0,1983
"2428","Gabriel Osorio","masculino",0,1984
"2429","Ramón Allende","masculino",1,1845
"2430","Juan Zanelli","masculino",0,1906
"2431","Fernando Flores Labra","masculino",1,1943
"2432","Daniel Jadue","masculino",1,1967
"2433","Valentín Pimstein","masculino",0,1925
"2434","Agustín Edwards Eastman","masculino",0,1927
"2435","José Tohá","masculino",1,1927
"2436","Jaime Pizarro","masculino",1,1964
"2437","Ivo Basay","masculino",0,1966
"2438","Iván Morovic","masculino",0,1963
"2439","Gabriel Mendoza","masculino",1,1968
"2440","Hugo Rubio","masculino",0,1960
"2441","Juvenal Olmos","masculino",0,1962
"2442","Pedro González Vera","masculino",0,1967
"2443","Fernando Astengo","masculino",0,1960
"2444","Jorge Contreras Lira","masculino",0,1960
"2445","Rubén Espinoza","masculino",0,1961
"2446","Jaime Vera Rodríguez","masculino",0,1963
"2447","Rubén Martínez Núñez","masculino",0,1964
"2448","Héctor Vergara","masculino",0,1966
"2449","Alejandro Hisis","masculino",0,1962
"2450","Marco Antonio Figueroa","masculino",0,1962
"2451","Sergio Vargas Buscalia","masculino",0,1965
"2452","Gert Weil","masculino",0,1960
"2453","Patricio Toledo","masculino",0,1962
"2454","Hugo González Muñoz","masculino",0,1963
"2455","Laird Hamilton","masculino",0,1964
"2456","Mario Lepe","masculino",0,1965
"2457","Mario Salas","masculino",0,1967
"2458","Fabián Guevara","masculino",0,1968
"2459","Rodrigo Vásquez Schroder","masculino",0,1969
"2460","Patricio Mardones","masculino",1,1962
"2461","Eduardo Vilches","masculino",0,1963
"2462","Carlos Chandía","masculino",0,1964
"2463","Marcelo Barticciotto","masculino",0,1967
"2464","Carlo de Gavardo","masculino",0,1969
"2465","Lukas Tudor","masculino",0,1969
"2466","Leonel Contreras","masculino",0,1961
"2467","Aníbal González Espinoza","masculino",0,1963
"2468","Nelson Cossio","masculino",0,1966
"2469","Jorge Gómez","masculino",0,1968
"2470","Juan Carreño López","masculino",0,1968
"2471","Raimundo Tupper","masculino",0,1969
"2472","Fernando Díaz Seguel","masculino",0,1961
"2473","Juan Covarrubias","masculino",0,1961
"2474","Luis Pérez","masculino",0,1961
"2475","Carlos Poblete","masculino",0,1963
"2476","José Letelier","masculino",0,1966
"2477","Andrés Romero","masculino",0,1967
"2478","Jaime Patricio Ramírez","masculino",0,1967
"2479","Richard Zambrano","masculino",0,1967
"2480","Daniel López","masculino",0,1969
"2481","Alfredo Nuñez","masculino",0,1960
"2482","Emiliano Astorga","masculino",0,1960
"2483","Pedro Rebolledo","masculino",0,1960
"2484","José Santos León","masculino",0,1961
"2485","Sergio Marchant","masculino",0,1961
"2486","Jaime Baeza","masculino",0,1962
"2487","Víctor Hugo Castañeda","masculino",0,1962
"2488","Rubén Selmán","masculino",0,1963
"2489","Mario Véner","masculino",0,1964
"2490","Ricardo Gónzalez Reinoso","masculino",0,1965
"2491","Jorge Pellicer","masculino",0,1966
"2492","José Cantillana","masculino",0,1966
"2493","Marcelo Miranda Díaz","masculino",0,1967
"2494","Rubén Vallejos","masculino",0,1967
"2495","Wilson Contreras","masculino",0,1967
"2496","Rodrigo Gómez","masculino",0,1968
"2497","Sergio Cortes","masculino",0,1968
"2498","Óscar Meneses","masculino",0,1960
"2499","Guillermo Carreño","masculino",0,1962
"2500","Nelson Soto","masculino",0,1963
"2501","Enrique Silva Cimma","masculino",1,1918
"2502","Ignacio Walker","masculino",1,1956
"2503","Sebastián Sichel","masculino",1,1977
"2504","Julio Canessa Robert","masculino",1,1925
"2505","Manuel Baquedano","masculino",1,1823
"2506","Emilio Körner","masculino",0,1846
"2507","Pedro Pablo Dartnell","masculino",1,1873
"2508","Víctor Farías","masculino",0,1940
"2509","Agustín Edwards Mac-Clure","masculino",1,1878
"2510","Laurence Golborne","masculino",1,1961
"2511","Emilio Bello Codesido","masculino",1,1868
"2512","Manuel Trucco","masculino",1,1875
"2513","Juan Somavía","masculino",1,1941
"2514","Antonio Moreno Casamitjana","masculino",0,1927
"2515","Javier Prado Aránguiz","masculino",0,1929
"2516","Tomás Osvaldo González Morales","masculino",0,1935
"2517","Gonzalo Duarte García de Cortázar","masculino",0,1942
"2518","Cristián Caro Cordero","masculino",0,1943
"2519","José Victorino Lastarria","masculino",1,1817
"2520","Carlos Walker Martínez","masculino",1,1842
"2521","Alfredo Valenzuela Puelma","masculino",0,1856
"2522","Pedro Nolasco Cruz Vergara","masculino",1,1857
"2523","Rodolfo Lenz","masculino",0,1863
"2524","Baldomero Lillo","masculino",0,1867
"2525","Camilo Mori Serrano","masculino",0,1896
"2526","José Bohr","masculino",0,1901
"2527","René Amengual","masculino",0,1911
"2528","Tito Davison","masculino",0,1912
"2529","Carlos Droguett","masculino",0,1912
"2530","Luis Orlando Lagos Vásquez","masculino",0,1913
"2531","Luis Alarcón","masculino",0,1929
"2532","Helvio Soto Soto","masculino",0,1930
"2533","Leon Schidlowsky","masculino",0,1931
"2534","Armando Uribe Arce","masculino",0,1933
"2535","Jaime Vadell","masculino",0,1935
"2536","Nelson Villagra","masculino",0,1937
"2537","Silvio Caiozzi","masculino",0,1944
"2538","Peter Rock","masculino",0,1945
"2539","Sergio Hernández","masculino",0,1945
"2540","Patricio Contreras","masculino",0,1947
"2541","Horacio Salinas","masculino",0,1951
"2542","Gustavo Huerta","masculino",0,1957
"2543","Ricardo Larraín","masculino",0,1957
"2544","Jorge González","masculino",0,1964
"2545","Alfredo Perl","masculino",0,1965
"2546","Alejandro Silva","masculino",0,1969
"2547","Juan Cristóbal Tapia de Veer","masculino",0,1973
"2548","Benjamín Vicuña","masculino",0,1977
"2549","Matías Bize","masculino",0,1979
"2550","Tomás Guevara","masculino",0,1865
"2551","Eduardo Kapstein","masculino",0,1904
"2552","Héctor Croxatto","masculino",0,1908
"2553","Ignacio Matte Blanco","masculino",0,1908
"2554","Klaus von Storch","masculino",0,1962
"2555","Cristian Bolton","masculino",0,1973
"2556","Guido Pizarro","masculino",0,2000
"2557","Camilo Henríquez","masculino",1,1769
"2558","Cristián Bustos Mancilla","masculino",0,1965
"2559","Luis Abarca","masculino",0,1965
"2560","Raúl Toro Basáez","masculino",0,1965
"2561","Juan Carlos González Izurieta","masculino",0,1968
"2562","Miguel Cerda","masculino",0,1969
"2563","Carlos González Romero","masculino",0,1960
"2564","Juan Carlos Vera Rivera","masculino",0,1960
"2565","Sandrino Castec","masculino",0,1960
"2566","Luis Abdón Rodríguez","masculino",0,1961
"2567","Ricardo Toro Vergara","masculino",0,1961
"2568","Cristián Romero","masculino",0,1963
"2569","Gerardo Vacarezza","masculino",0,1965
"2570","Miguel Latín","masculino",0,1968
"2571","Carlos Neyra","masculino",0,1960
"2572","José Luis Álvarez Núñez","masculino",0,1960
"2573","Mariano Puyol","masculino",0,1960
"2574","Jorge Muñoz Luna","masculino",0,1961
"2575","Pablo Milad Abusleme","masculino",1,1961
"2576","Gerardo Silva","masculino",0,1962
"2577","Martín Gálvez Asún","masculino",0,1962
"2578","Juan Gutiérrez Acosta","masculino",0,1964
"2579","Cristián Saavedra","masculino",0,1961
"2580","Marco Fajre","masculino",0,1963
"2581","Pedro Jaque","masculino",0,1963
"2582","Ramón Pérez Araya","masculino",0,1963
"2583","José Antonio Fernández Ibarra","masculino",0,1965
"2584","Óscar Lee Chong","masculino",0,1965
"2585","Francisco Huerta","masculino",0,1967
"2586","Franz Arancibia","masculino",0,1967
"2587","Marcelo Zunino","masculino",0,1967
"2588","Miguel Ardiman","masculino",0,1967
"2589","Reynaldo Hoffmann","masculino",0,1967
"2590","Camilo Pino Pedreros","masculino",0,1968
"2591","Jorge Atalah","masculino",0,1968
"2592","Juan Carlos Peralta","masculino",0,1968
"2593","Alfonso Neculñir","masculino",0,1960
"2594","Felipe Jiménez","masculino",0,1960
"2595","Heinz Gildemeister","masculino",0,1960
"2596","José Astaburuaga","masculino",0,1960
"2597","José Manuel Pozo","masculino",0,1960
"2598","Luis Zambrano Arce","masculino",0,1960
"2599","Marcelo Silva","masculino",0,1960
"2600","Alfonso Navarro","masculino",0,1961
"2601","Eduardo Cofré","masculino",0,1961
"2602","Humberto Norambuena","masculino",0,1961
"2603","Jorge García Ahumada","masculino",0,1961
"2604","Orlando Mondaca","masculino",0,1961
"2605","Pedro Pablo Díaz","masculino",0,1961
"2606","Atilio Marchioni","masculino",0,1962
"2607","Bernardo Mendoza","masculino",0,1962
"2608","Cristian Trejos","masculino",0,1962
"2609","Cristián Cheuque","masculino",0,1962
"2610","Jaime Bahamondes","masculino",0,1962
"2611","Mauro Meléndez","masculino",0,1962
"2612","Boris Garafulic Litvak","masculino",0,1963
"2613","Cristián Olguín Acuña","masculino",0,1963
"2614","George Biehl","masculino",0,1963
"2615","Leonardo Canales","masculino",0,1963
"2616","Marcelo León","masculino",0,1963
"2617","Naín Rostión","masculino",0,1963
"2618","Pablo Yoma","masculino",0,1963
"2619","Camilo Padilla","masculino",0,1964
"2620","Horacio Rivas","masculino",0,1964
"2621","Ricardo Lee","masculino",0,1964
"2622","Rodrigo Astudillo Pérez","masculino",0,1964
"2623","Enríque Berríos","masculino",0,1965
"2624","Gustavo Poirrier","masculino",0,1965
"2625","Joel Molina","masculino",0,1965
"2626","Jorge Luis Pérez Vega","masculino",0,1965
"2627","Mauricio Riffo","masculino",0,1965
"2628","Roberto Reynero","masculino",0,1965
"2629","Wilson Fre","masculino",0,1965
"2630","Juan Sebastián Montes","masculino",0,1967
"2631","Marcelo Álvarez","masculino",0,1967
"2632","Walter Mella","masculino",0,1967
"2633","Cristián Mora","masculino",0,1968
"2634","Hugo Vilches","masculino",0,1969
"2635","Jorge Torres Vega","masculino",0,1969
"2636","Mariano Egaña","masculino",1,1793
"2637","Alejandro Álvarez Jofre","masculino",0,1868
"2638","Hernán Santa Cruz","masculino",0,1906
"2639","Arturo Alessandri Besa","masculino",1,1923
"2640","Cornelio Saavedra Rodríguez","masculino",1,1821
"2641","Marmaduke Grove","masculino",1,1878
"2642","Peter Hansen","masculino",0,1896
"2643","Jaime Eyzaguirre","masculino",0,1908
"2644","Edmundo Pérez Zujovic","masculino",1,1912
"2645","Elías Lafertte","masculino",1,1886
"2646","Patricio Carvajal","masculino",1,1916
"2647","Gabriel Valdés Subercaseaux","masculino",1,1919
"2648","Fernando Matthei","masculino",1,1925
"2649","Alejandro Foxley","masculino",1,1939
"2650","Adolfo Zaldívar","masculino",1,1943
"2651","Santiago Silva Retamales","masculino",0,1955
"2652","Tomislav Koljatic Maroevic","masculino",0,1955
"2653","Juan Barros Madrid","masculino",0,1956
"2654","Carlos Eduardo Pellegrín Barrera","masculino",0,1958
"2655","Luis Fernando Ramos Pérez","masculino",0,1959
"2656","Marco A. Órdenes Fernández","masculino",0,1964
"2657","Pedro de Oña","masculino",0,1570
"2658","Juan Egaña","masculino",1,1768
"2659","Antonio Smith","masculino",0,1832
"2660","Manuel Antonio Caro","masculino",0,1835
"2661","Crescente Errázuriz","masculino",0,1839
"2662","Thomas Somerscales","masculino",0,1842
"2663","Alberto Valenzuela Llanos","masculino",0,1869
"2664","Pablo Burchard","masculino",0,1875
"2665","Carlos Pezoa Véliz","masculino",0,1879
"2666","Enrique Soro","masculino",0,1884
"2667","Mariano Latorre","masculino",0,1886
"2668","Pedro Prado","masculino",0,1886
"2669","Carlos Isamitt","masculino",0,1887
"2670","Ángel Cruchaga Santa María","masculino",0,1893
"2671","Alfonso Leng","masculino",0,1894
"2672","Álvaro Guevara","masculino",0,1894
"2673","Jorge González von Marées","masculino",1,1900
"2674","Hans Helfritz","masculino",0,1902
"2675","Herbert W. Spencer","masculino",0,1905
"2676","Jorge Urrutia Blondel","masculino",0,1905
"2677","Óscar Castro","masculino",0,1910
"2678","Pepo","masculino",0,1911
"2679","Roque Esteban Scarpa","masculino",0,1914
"2680","Vicente Bianchi Alarcón","masculino",0,1920
"2681","Egon Wolff","masculino",0,1926
"2682","Miguel Arteche","masculino",0,1926
"2683","José Balmes","masculino",0,1927
"2684","Efraín Barquero","masculino",0,1931
"2685","Sergio Larraín","masculino",0,1931
"2686","Alejandro Sieveking","masculino",0,1934
"2687","Luis Advis","masculino",0,1935
"2688","Eduardo Carrasco Pirard","masculino",0,1940
"2689","Julio Numhauser","masculino",0,1940
"2690","Gabriel Brncic","masculino",0,1942
"2691","Juan Luis Martínez","masculino",0,1942
"2692","Jaime Collyer","masculino",0,1955
"2693","Alejandro Goic","masculino",0,1957
"2694","Tito Beltrán","masculino",0,1965
"2695","Boris Quercia","masculino",0,1966
"2696","Cristián Jiménez","masculino",0,1975
"2697","César A. Hidalgo","masculino",0,1979
"2698","Benjamín Labatut","masculino",0,1980
"2699","Ariel Mateluna","masculino",0,1989
"2700","Arturo Salazar","masculino",0,1855
"2701","Dagoberto Godoy Fuentealba","masculino",0,1893
"2702","Sergio de Castro","masculino",0,1930
"2703","Claudio Bunster","masculino",0,1947
"2704","F. J. Duarte","masculino",0,1954
"2705","Jaime Mañalich","masculino",1,1954
"2706","Pablo Longueira","masculino",1,1958
"2707","Ricardo J. Caballero","masculino",0,1959
"2708","Ricardo Lagos Weber","masculino",1,1962
"2709","Vicente Reyes Palazuelos","masculino",1,1835
"2710","Harold Mayne-Nicholls","masculino",0,1961
"2711","Ignacio Gutiérrez","masculino",0,1976
"2712","Roberto Rojas Mercado","masculino",0,1969
"2713","Denisse van Lamoen","femenino",0,1979
"2714","Érika Olivera","femenino",1,1976
"2715","Cáterin Bravo","femenino",0,1978
"2716","Berta Rodríguez","femenino",0,1971
"2717","Yeny Contreras","femenino",0,1979
"2718","Soraya Jadué","femenino",0,1975
"2719","Alexandra Benado","femenino",1,1976
"2720","Patricia Demick","femenino",0,1972
"2721","Francisca Mardones","femenino",0,1977
"2722","Patricia Soto","femenino",0,1970
"2723","Paula Navarro Alvear","femenino",0,1972
"2724","Romané Soto","femenino",0,1978
"2725","Marcelo Salas","masculino",0,1974
"2726","Francisco Fernández Torrejón","masculino",0,1975
"2727","Marcelo Ríos","masculino",0,1975
"2728","David Pizarro","masculino",0,1979
"2729","Nicolás Massú","masculino",0,1979
"2730","Pablo Contreras","masculino",0,1978
"2731","Rodrigo Tello","masculino",0,1979
"2732","Pablo Pozo","masculino",0,1973
"2733","Frank Lobos","masculino",0,1976
"2734","Pedro Reyes G.","masculino",0,1972
"2735","Mauricio Aros","masculino",0,1976
"2736","Manuel Neira","masculino",0,1977
"2737","Miguel Ramírez","masculino",0,1970
"2738","Enrique Osses Zencovich","masculino",0,1974
"2739","Rafael Olarra","masculino",0,1978
"2740","Rodrigo Barrera","masculino",0,1970
"2741","Francisco Rojas Rojas","masculino",0,1974
"2742","Clarence Acuña","masculino",0,1975
"2743","Marcelo Vega","masculino",0,1971
"2744","Moisés Villarroel","masculino",0,1976
"2745","Julio Bascuñán","masculino",0,1978
"2746","Sebastián González","masculino",0,1978
"2747","Nelson Parraguez","masculino",0,1971
"2748","Reinaldo Navia","masculino",0,1978
"2749","Carlos Tejas","masculino",0,1971
"2750","David Henríquez","masculino",0,1977
"2751","Héctor Tapia","masculino",0,1977
"2752","Manuel Ibarra Valdés","masculino",0,1977
