"","person","genero","politico","agno_nacimiento"
"148","Aurora Mira","femenino",0,1863
"149","Judith Alpi","femenino",0,1893
"150","Marcela Paz","femenino",0,1902
"151","Lily Garafulic","femenino",0,1914
"152","Bélgica Castro","femenino",0,1921
"153","Aline Kuppenheim","femenino",0,1969
"154","Nona Fernández","femenino",0,1971
"155","Sigrid Alegría","femenino",0,1974
"156","Carolina de Moras","femenino",0,1981
"157","Ignacia Allamand","femenino",0,1981
"158","Pamela Díaz Padilla","femenino",0,1981
"159","Maite Alberdi","femenino",0,1983
"160","Daniela Castillo","femenino",0,1984
"161","Dominga Sotomayor Castillo","femenino",0,1985
"162","Paloma Mami","femenino",0,1999
"163","María Edwards McClure","femenino",0,1893
"164","Ángela Jeria","femenino",0,1926
"165","Julieta Kirkwood","femenino",0,1936
"166","Sara Larraín","femenino",1,1952
"167","Maya Fernández","femenino",1,1971
"168","Tilde de Paula","femenino",0,1972
"169","Ena von Baer","femenino",1,1974
"170","Quintín Barrientos Villalobos","masculino",1,1899
"171","Pradelia Delgado","femenino",0,1901
"172","Guillermo Subiabre","masculino",0,1903
"173","Carlos Vidal","masculino",0,1902
"174","Manuel Plaza","masculino",0,1900
"175","Carlos Schneeberger","masculino",0,1902
"176","Humberto Elgueta","masculino",0,1904
"177","Roberto Cortés","masculino",0,1905
"178","Víctor Morales Salas","masculino",0,1905
"179","Cesar Espinoza","masculino",0,1900
"180","Ernesto Chaparro","masculino",0,1901
"181","David Arellano","masculino",0,1902
"182","Guillermo Saavedra","masculino",0,1903
"183","Cecilia Medina","femenino",0,1935
"184","Ximena Rincón","femenino",1,1958
"185","Isabel Le Brun","femenino",0,1845
"186","Alicia Cañas Zañartu","femenino",1,1901
"187","Laura Allende","femenino",1,1911
"188","Carolina Schmidt","femenino",1,1967
"189","Angata","femenino",0,1853
"190","Sor Josefa de los Dolores Peña y Lillo Barbosa","femenino",0,1739
"191","Isidora Zegers Montenegro","femenino",0,1803
"192","Mercedes Marín del Solar","femenino",0,1804
"193","Enriqueta Pinto Garmendia","femenino",0,1817
"194","Celia Castro","femenino",0,1860
"195","Marta Canales","femenino",0,1893
"196","Isidora Aguirre","femenino",0,1919
"197","Violeta Vidaurre","femenino",0,1928
"198","Edith Fischer","femenino",0,1935
"199","Tatiana Lobo","femenino",0,1939
"200","Mónica González Mujica","femenino",0,1949
"201","Pía Barros","femenino",0,1956
"202","Carla Guelfenbein","femenino",0,1959
"203","María Izquierdo Huneeus","femenino",0,1960
"204","Margot Kahl","femenino",0,1961
"205","Pilar Sordo","femenino",0,1965
"206","Verónica Villarroel","femenino",0,1965
"207","Alejandra Costamagna","femenino",0,1970
"208","Marcela Vacarezza","femenino",0,1970
"209","Mónica Godoy","femenino",0,1976
"210","Catalina Palacios","femenino",0,1980
"211","Renata Ruiz","femenino",0,1984
"212","Nataly Chilet","femenino",0,1985
"213","Nicole Moreno","femenino",0,1987
"214","Melissa Aldana","femenino",0,1988
"215","Mélica Muñoz-Schick","femenino",0,1941
"216","Vivianne Blanlot","femenino",1,1955
"217","Veronique Thouvenot","femenino",0,1957
"218","Carolina Tohá","femenino",1,1965
"219","María Elisa Quinteros","femenino",1,1981
"220","Lucía Abello","femenino",0,2000
"221","Marta Vergara","femenino",0,1898
"222","Karen Doggenweiler","femenino",0,1969
"223","Bárbara Rebolledo","femenino",1,1973
"224","Arturo Torres","masculino",0,1906
"225","Guillermo Riveros","masculino",0,1902
"226","Arturo Coddou","masculino",0,1905
"227","Eberardo Villalobos","masculino",0,1906
"228","Guillermo Arellano","masculino",0,1908
"229","Juan Aguilera","masculino",0,1903
"230","Inés Enríquez Frödden","femenino",1,1913
"231","Alejandra Krauss","femenino",1,1956
"232","Candelaria Chimuela","femenino",0,1810
"233","Leonor Oyarzún","femenino",0,1919
"234","María Errázuriz Echaurren","femenino",1,1861
"235","Agustina Gutiérrez Salazar","femenino",0,1851
"236","Carmela Mackenna","femenino",0,1879
"237","Henriette Petit","femenino",0,1894
"238","Rosita Renard","femenino",0,1894
"239","Cristina Montt","femenino",0,1895
"240","Elmina Moisan","femenino",0,1897
"241","Laura Rodig","femenino",0,1901
"242","Virginia Cox Balmaceda","femenino",0,1905
"243","Alicia Barrié","femenino",0,1915
"244","Matilde Pérez","femenino",0,1916
"245","Gloria Lynch","femenino",0,1919
"246","Eliana Navarro","femenino",0,1920
"247","Malú Gatica","femenino",0,1922
"248","Delfina Guzmán","femenino",0,1928
"249","Lupe Serrano","femenino",0,1930
"250","Margarita Pisano","femenino",0,1932
